	forecast_timestamp	forecast_unix_timestamp	forecast_temperature	forecast_hours_ahead	forecast_current_timestamp	history_timestamp	history_unix_timestamp	history_temperature
0	2020-01-10 00:00:00	1578610800	5.7	0	2020-01-10 00:00:00	2020-01-10 00:00:00	1578610800	6.3
1	2020-01-10 01:00:00	1578614400	5.3	1	2020-01-10 00:00:00	2020-01-10 01:00:00	1578614400	5.9
2	2020-01-10 02:00:00	1578618000	5.2	2	2020-01-10 00:00:00	2020-01-10 02:00:00	1578618000	5.7
3	2020-01-10 03:00:00	1578621600	4.9	3	2020-01-10 00:00:00	2020-01-10 03:00:00	1578621600	5.6
4	2020-01-10 04:00:00	1578625200	4.6	4	2020-01-10 00:00:00	2020-01-10 04:00:00	1578625200	5.2
5	2020-01-10 05:00:00	1578628800	4.3	5	2020-01-10 00:00:00	2020-01-10 05:00:00	1578628800	4.9
6	2020-01-10 06:00:00	1578632400	3.8	6	2020-01-10 00:00:00	2020-01-10 06:00:00	1578632400	4.9
7	2020-01-10 07:00:00	1578636000	3.5	7	2020-01-10 00:00:00	2020-01-10 07:00:00	1578636000	4.7
8	2020-01-10 08:00:00	1578639600	3.5	8	2020-01-10 00:00:00	2020-01-10 08:00:00	1578639600	4.5
9	2020-01-10 09:00:00	1578643200	3.8	9	2020-01-10 00:00:00	2020-01-10 09:00:00	1578643200	4.4
10	2020-01-10 10:00:00	1578646800	4.3	10	2020-01-10 00:00:00	2020-01-10 10:00:00	1578646800	5.0
11	2020-01-10 11:00:00	1578650400	5.3	11	2020-01-10 00:00:00	2020-01-10 11:00:00	1578650400	5.7
12	2020-01-10 12:00:00	1578654000	6.1	12	2020-01-10 00:00:00	2020-01-10 12:00:00	1578654000	6.7
13	2020-01-10 13:00:00	1578657600	6.5	13	2020-01-10 00:00:00	2020-01-10 13:00:00	1578657600	6.9
14	2020-01-10 14:00:00	1578661200	6.6	14	2020-01-10 00:00:00	2020-01-10 14:00:00	1578661200	6.8
15	2020-01-10 15:00:00	1578664800	6.3	15	2020-01-10 00:00:00	2020-01-10 15:00:00	1578664800	6.8
16	2020-01-10 16:00:00	1578668400	5.7	16	2020-01-10 00:00:00	2020-01-10 16:00:00	1578668400	5.6
17	2020-01-10 17:00:00	1578672000	5.1	17	2020-01-10 00:00:00	2020-01-10 17:00:00	1578672000	4.6
18	2020-01-10 18:00:00	1578675600	4.7	18	2020-01-10 00:00:00	2020-01-10 18:00:00	1578675600	4.2
19	2020-01-10 19:00:00	1578679200	4.4	19	2020-01-10 00:00:00	2020-01-10 19:00:00	1578679200	3.8
20	2020-01-10 20:00:00	1578682800	4.3	20	2020-01-10 00:00:00	2020-01-10 20:00:00	1578682800	3.8
21	2020-01-10 21:00:00	1578686400	4.6	21	2020-01-10 00:00:00	2020-01-10 21:00:00	1578686400	3.8
22	2020-01-10 22:00:00	1578690000	4.7	22	2020-01-10 00:00:00	2020-01-10 22:00:00	1578690000	4.0
23	2020-01-10 23:00:00	1578693600	4.9	23	2020-01-10 00:00:00	2020-01-10 23:00:00	1578693600	4.1
24	2020-01-11 00:00:00	1578697200	5.1	24	2020-01-10 00:00:00	2020-01-11 00:00:00	1578697200	5.0
25	2020-01-11 01:00:00	1578700800	5.3	25	2020-01-10 00:00:00	2020-01-11 01:00:00	1578700800	5.4
26	2020-01-11 02:00:00	1578704400	5.7	26	2020-01-10 00:00:00	2020-01-11 02:00:00	1578704400	5.9
27	2020-01-11 03:00:00	1578708000	6.1	27	2020-01-10 00:00:00	2020-01-11 03:00:00	1578708000	6.2
28	2020-01-11 04:00:00	1578711600	6.4	28	2020-01-10 00:00:00	2020-01-11 04:00:00	1578711600	6.4
29	2020-01-11 05:00:00	1578715200	6.6	29	2020-01-10 00:00:00	2020-01-11 05:00:00	1578715200	6.7
30	2020-01-11 06:00:00	1578718800	6.9	30	2020-01-10 00:00:00	2020-01-11 06:00:00	1578718800	6.8
31	2020-01-11 07:00:00	1578722400	7.1	31	2020-01-10 00:00:00	2020-01-11 07:00:00	1578722400	7.1
32	2020-01-11 08:00:00	1578726000	7.4	32	2020-01-10 00:00:00	2020-01-11 08:00:00	1578726000	7.4
33	2020-01-11 09:00:00	1578729600	8.0	33	2020-01-10 00:00:00	2020-01-11 09:00:00	1578729600	7.4
34	2020-01-11 10:00:00	1578733200	8.3	34	2020-01-10 00:00:00	2020-01-11 10:00:00	1578733200	8.0
35	2020-01-11 11:00:00	1578736800	8.8	35	2020-01-10 00:00:00	2020-01-11 11:00:00	1578736800	8.6
36	2020-01-11 12:00:00	1578740400	9.3	36	2020-01-10 00:00:00	2020-01-11 12:00:00	1578740400	9.3
37	2020-01-11 13:00:00	1578744000	9.7	37	2020-01-10 00:00:00	2020-01-11 13:00:00	1578744000	9.3
38	2020-01-11 14:00:00	1578747600	9.7	38	2020-01-10 00:00:00	2020-01-11 14:00:00	1578747600	9.3
39	2020-01-11 15:00:00	1578751200	9.7	39	2020-01-10 00:00:00	2020-01-11 15:00:00	1578751200	9.6
40	2020-01-11 16:00:00	1578754800	9.2	40	2020-01-10 00:00:00	2020-01-11 16:00:00	1578754800	9.3
41	2020-01-11 17:00:00	1578758400	9.1	41	2020-01-10 00:00:00	2020-01-11 17:00:00	1578758400	9.3
42	2020-01-11 18:00:00	1578762000	9.1	42	2020-01-10 00:00:00	2020-01-11 18:00:00	1578762000	9.4
43	2020-01-11 19:00:00	1578765600	9.4	43	2020-01-10 00:00:00	2020-01-11 19:00:00	1578765600	9.6
44	2020-01-11 20:00:00	1578769200	9.6	44	2020-01-10 00:00:00	2020-01-11 20:00:00	1578769200	9.5
45	2020-01-11 21:00:00	1578772800	9.7	45	2020-01-10 00:00:00	2020-01-11 21:00:00	1578772800	9.4
46	2020-01-11 22:00:00	1578776400	9.7	46	2020-01-10 00:00:00	2020-01-11 22:00:00	1578776400	9.5
47	2020-01-11 23:00:00	1578780000	9.8	47	2020-01-10 00:00:00	2020-01-11 23:00:00	1578780000	9.5
48	2020-01-12 00:00:00	1578783600	9.8	48	2020-01-10 00:00:00	2020-01-12 00:00:00	1578783600	9.2
49	2020-01-12 01:00:00	1578787200	10.0	49	2020-01-10 00:00:00	2020-01-12 01:00:00	1578787200	9.2
50	2020-01-12 02:00:00	1578790800	9.9	50	2020-01-10 00:00:00	2020-01-12 02:00:00	1578790800	9.2
51	2020-01-12 03:00:00	1578794400	9.9	51	2020-01-10 00:00:00	2020-01-12 03:00:00	1578794400	9.3
52	2020-01-12 04:00:00	1578798000	9.9	52	2020-01-10 00:00:00	2020-01-12 04:00:00	1578798000	9.4
53	2020-01-12 05:00:00	1578801600	9.9	53	2020-01-10 00:00:00	2020-01-12 05:00:00	1578801600	9.6
54	2020-01-12 06:00:00	1578805200	9.8	54	2020-01-10 00:00:00	2020-01-12 06:00:00	1578805200	9.1
55	2020-01-12 07:00:00	1578808800	9.7	55	2020-01-10 00:00:00	2020-01-12 07:00:00	1578808800	9.1
56	2020-01-12 08:00:00	1578812400	9.4	56	2020-01-10 00:00:00	2020-01-12 08:00:00	1578812400	9.1
57	2020-01-12 09:00:00	1578816000	9.6	57	2020-01-10 00:00:00	2020-01-12 09:00:00	1578816000	9.1
58	2020-01-12 10:00:00	1578819600	9.7	58	2020-01-10 00:00:00	2020-01-12 10:00:00	1578819600	9.5
59	2020-01-12 11:00:00	1578823200	10.1	59	2020-01-10 00:00:00	2020-01-12 11:00:00	1578823200	9.9
60	2020-01-12 12:00:00	1578826800	10.3	60	2020-01-10 00:00:00	2020-01-12 12:00:00	1578826800	10.1
61	2020-01-12 13:00:00	1578830400	10.4	61	2020-01-10 00:00:00	2020-01-12 13:00:00	1578830400	10.0
62	2020-01-12 14:00:00	1578834000	10.2	62	2020-01-10 00:00:00	2020-01-12 14:00:00	1578834000	9.7
63	2020-01-12 15:00:00	1578837600	10.0	63	2020-01-10 00:00:00	2020-01-12 15:00:00	1578837600	9.5
64	2020-01-12 16:00:00	1578841200	9.1	64	2020-01-10 00:00:00	2020-01-12 16:00:00	1578841200	8.2
65	2020-01-12 17:00:00	1578844800	8.5	65	2020-01-10 00:00:00	2020-01-12 17:00:00	1578844800	7.2
66	2020-01-12 18:00:00	1578848400	7.5	66	2020-01-10 00:00:00	2020-01-12 18:00:00	1578848400	7.3
67	2020-01-12 19:00:00	1578852000	6.8	67	2020-01-10 00:00:00	2020-01-12 19:00:00	1578852000	6.5
68	2020-01-12 20:00:00	1578855600	6.3	68	2020-01-10 00:00:00	2020-01-12 20:00:00	1578855600	6.1
69	2020-01-12 21:00:00	1578859200	5.7	69	2020-01-10 00:00:00	2020-01-12 21:00:00	1578859200	5.8
70	2020-01-12 22:00:00	1578862800	5.4	70	2020-01-10 00:00:00	2020-01-12 22:00:00	1578862800	5.6
71	2020-01-12 23:00:00	1578866400	5.0	71	2020-01-10 00:00:00	2020-01-12 23:00:00	1578866400	5.4
72	2020-01-13 00:00:00	1578870000	4.5	72	2020-01-10 00:00:00	2020-01-13 00:00:00	1578870000	5.6
73	2020-01-13 01:00:00	1578873600	4.3	73	2020-01-10 00:00:00	2020-01-13 01:00:00	1578873600	5.4
74	2020-01-13 02:00:00	1578877200	4.3	74	2020-01-10 00:00:00	2020-01-13 02:00:00	1578877200	5.4
75	2020-01-13 03:00:00	1578880800	4.1	75	2020-01-10 00:00:00	2020-01-13 03:00:00	1578880800	5.4
76	2020-01-13 04:00:00	1578884400	4.1	76	2020-01-10 00:00:00	2020-01-13 04:00:00	1578884400	5.4
77	2020-01-13 05:00:00	1578888000	4.1	77	2020-01-10 00:00:00	2020-01-13 05:00:00	1578888000	5.5
78	2020-01-13 06:00:00	1578891600	3.9	78	2020-01-10 00:00:00	2020-01-13 06:00:00	1578891600	5.3
79	2020-01-13 07:00:00	1578895200	4.0	79	2020-01-10 00:00:00	2020-01-13 07:00:00	1578895200	5.4
80	2020-01-13 08:00:00	1578898800	4.3	80	2020-01-10 00:00:00	2020-01-13 08:00:00	1578898800	5.6
81	2020-01-13 09:00:00	1578902400	4.8	81	2020-01-10 00:00:00	2020-01-13 09:00:00	1578902400	6.1
82	2020-01-13 10:00:00	1578906000	5.7	82	2020-01-10 00:00:00	2020-01-13 10:00:00	1578906000	7.0
83	2020-01-13 11:00:00	1578909600	6.6	83	2020-01-10 00:00:00	2020-01-13 11:00:00	1578909600	7.6
84	2020-01-13 12:00:00	1578913200	7.4	84	2020-01-10 00:00:00	2020-01-13 12:00:00	1578913200	8.1
85	2020-01-13 13:00:00	1578916800	7.8	85	2020-01-10 00:00:00	2020-01-13 13:00:00	1578916800	8.2
86	2020-01-13 14:00:00	1578920400	7.9	86	2020-01-10 00:00:00	2020-01-13 14:00:00	1578920400	8.2
87	2020-01-13 15:00:00	1578924000	7.8	87	2020-01-10 00:00:00	2020-01-13 15:00:00	1578924000	8.5
88	2020-01-13 16:00:00	1578927600	7.8	88	2020-01-10 00:00:00	2020-01-13 16:00:00	1578927600	8.3
89	2020-01-13 17:00:00	1578931200	7.7	89	2020-01-10 00:00:00	2020-01-13 17:00:00	1578931200	8.5
90	2020-01-13 18:00:00	1578934800	7.8	90	2020-01-10 00:00:00	2020-01-13 18:00:00	1578934800	9.0
91	2020-01-13 19:00:00	1578938400	8.3	91	2020-01-10 00:00:00	2020-01-13 19:00:00	1578938400	8.9
92	2020-01-13 20:00:00	1578942000	8.3	92	2020-01-10 00:00:00	2020-01-13 20:00:00	1578942000	9.1
93	2020-01-13 21:00:00	1578945600	8.2	93	2020-01-10 00:00:00	2020-01-13 21:00:00	1578945600	9.0
94	2020-01-13 22:00:00	1578949200	8.3	94	2020-01-10 00:00:00	2020-01-13 22:00:00	1578949200	8.9
95	2020-01-13 23:00:00	1578952800	8.4	95	2020-01-10 00:00:00	2020-01-13 23:00:00	1578952800	8.5
96	2020-01-14 00:00:00	1578956400	8.5	96	2020-01-10 00:00:00	2020-01-14 00:00:00	1578956400	7.8
97	2020-01-14 01:00:00	1578960000	8.6	97	2020-01-10 00:00:00	2020-01-14 01:00:00	1578960000	7.4
98	2020-01-14 02:00:00	1578963600	8.5	98	2020-01-10 00:00:00	2020-01-14 02:00:00	1578963600	7.2
99	2020-01-14 03:00:00	1578967200	8.4	99	2020-01-10 00:00:00	2020-01-14 03:00:00	1578967200	7.2
100	2020-01-14 04:00:00	1578970800	8.4	100	2020-01-10 00:00:00	2020-01-14 04:00:00	1578970800	6.9
101	2020-01-14 05:00:00	1578974400	8.2	101	2020-01-10 00:00:00	2020-01-14 05:00:00	1578974400	6.6
