	forecast_timestamp	forecast_unix_timestamp	forecast_temperature	forecast_hours_ahead	forecast_current_timestamp	history_timestamp	history_unix_timestamp	history_temperature
0	2020-01-10 00:00:00	1578610800	1.7	0	2020-01-10 00:00:00	2020-01-10 00:00:00	1578610800	1.1
1	2020-01-10 01:00:00	1578614400	1.6	1	2020-01-10 00:00:00	2020-01-10 01:00:00	1578614400	0.9
2	2020-01-10 02:00:00	1578618000	1.4	2	2020-01-10 00:00:00	2020-01-10 02:00:00	1578618000	0.8
3	2020-01-10 03:00:00	1578621600	1.3	3	2020-01-10 00:00:00	2020-01-10 03:00:00	1578621600	0.9
4	2020-01-10 04:00:00	1578625200	1.2	4	2020-01-10 00:00:00	2020-01-10 04:00:00	1578625200	0.8
5	2020-01-10 05:00:00	1578628800	1.2	5	2020-01-10 00:00:00	2020-01-10 05:00:00	1578628800	0.8
6	2020-01-10 06:00:00	1578632400	1.1	6	2020-01-10 00:00:00	2020-01-10 06:00:00	1578632400	0.8
7	2020-01-10 07:00:00	1578636000	1.2	7	2020-01-10 00:00:00	2020-01-10 07:00:00	1578636000	0.9
8	2020-01-10 08:00:00	1578639600	1.2	8	2020-01-10 00:00:00	2020-01-10 08:00:00	1578639600	1.0
9	2020-01-10 09:00:00	1578643200	1.2	9	2020-01-10 00:00:00	2020-01-10 09:00:00	1578643200	1.3
10	2020-01-10 10:00:00	1578646800	1.2	10	2020-01-10 00:00:00	2020-01-10 10:00:00	1578646800	1.0
11	2020-01-10 11:00:00	1578650400	1.2	11	2020-01-10 00:00:00	2020-01-10 11:00:00	1578650400	1.0
12	2020-01-10 12:00:00	1578654000	1.3	12	2020-01-10 00:00:00	2020-01-10 12:00:00	1578654000	1.2
13	2020-01-10 13:00:00	1578657600	1.0	13	2020-01-10 00:00:00	2020-01-10 13:00:00	1578657600	1.0
14	2020-01-10 14:00:00	1578661200	0.8	14	2020-01-10 00:00:00	2020-01-10 14:00:00	1578661200	0.8
15	2020-01-10 15:00:00	1578664800	0.6	15	2020-01-10 00:00:00	2020-01-10 15:00:00	1578664800	0.8
16	2020-01-10 16:00:00	1578668400	0.5	16	2020-01-10 00:00:00	2020-01-10 16:00:00	1578668400	0.7
17	2020-01-10 17:00:00	1578672000	0.5	17	2020-01-10 00:00:00	2020-01-10 17:00:00	1578672000	0.7
18	2020-01-10 18:00:00	1578675600	0.4	18	2020-01-10 00:00:00	2020-01-10 18:00:00	1578675600	0.8
19	2020-01-10 19:00:00	1578679200	-0.2	19	2020-01-10 00:00:00	2020-01-10 19:00:00	1578679200	0.5
20	2020-01-10 20:00:00	1578682800	-0.1	20	2020-01-10 00:00:00	2020-01-10 20:00:00	1578682800	0.4
21	2020-01-10 21:00:00	1578686400	0.5	21	2020-01-10 00:00:00	2020-01-10 21:00:00	1578686400	0.6
22	2020-01-10 22:00:00	1578690000	0.4	22	2020-01-10 00:00:00	2020-01-10 22:00:00	1578690000	0.5
23	2020-01-10 23:00:00	1578693600	0.3	23	2020-01-10 00:00:00	2020-01-10 23:00:00	1578693600	0.4
24	2020-01-11 00:00:00	1578697200	0.3	24	2020-01-10 00:00:00	2020-01-11 00:00:00	1578697200	-0.1
25	2020-01-11 01:00:00	1578700800	0.0	25	2020-01-10 00:00:00	2020-01-11 01:00:00	1578700800	0.3
26	2020-01-11 02:00:00	1578704400	-0.2	26	2020-01-10 00:00:00	2020-01-11 02:00:00	1578704400	0.2
27	2020-01-11 03:00:00	1578708000	-0.5	27	2020-01-10 00:00:00	2020-01-11 03:00:00	1578708000	0.3
28	2020-01-11 04:00:00	1578711600	-0.6	28	2020-01-10 00:00:00	2020-01-11 04:00:00	1578711600	-0.2
29	2020-01-11 05:00:00	1578715200	-0.7	29	2020-01-10 00:00:00	2020-01-11 05:00:00	1578715200	-0.2
30	2020-01-11 06:00:00	1578718800	-0.8	30	2020-01-10 00:00:00	2020-01-11 06:00:00	1578718800	0.0
31	2020-01-11 07:00:00	1578722400	-1.0	31	2020-01-10 00:00:00	2020-01-11 07:00:00	1578722400	0.3
32	2020-01-11 08:00:00	1578726000	-1.1	32	2020-01-10 00:00:00	2020-01-11 08:00:00	1578726000	0.2
33	2020-01-11 09:00:00	1578729600	-1.3	33	2020-01-10 00:00:00	2020-01-11 09:00:00	1578729600	-0.2
34	2020-01-11 10:00:00	1578733200	-1.3	34	2020-01-10 00:00:00	2020-01-11 10:00:00	1578733200	-0.2
35	2020-01-11 11:00:00	1578736800	-1.3	35	2020-01-10 00:00:00	2020-01-11 11:00:00	1578736800	-0.3
