	forecast_timestamp	forecast_unix_timestamp	forecast_temperature	forecast_hours_ahead	forecast_current_timestamp	history_timestamp	history_unix_timestamp	history_temperature
0	2020-01-10 00:00:00	1578610800	-1.2	0	2020-01-10 00:00:00	2020-01-10 00:00:00	1578610800	-0.6
1	2020-01-10 01:00:00	1578614400	-1.1	1	2020-01-10 00:00:00	2020-01-10 01:00:00	1578614400	-0.6
2	2020-01-10 02:00:00	1578618000	-1.0	2	2020-01-10 00:00:00	2020-01-10 02:00:00	1578618000	0.0
3	2020-01-10 03:00:00	1578621600	-0.9	3	2020-01-10 00:00:00	2020-01-10 03:00:00	1578621600	0.0
4	2020-01-10 04:00:00	1578625200	-0.8	4	2020-01-10 00:00:00	2020-01-10 04:00:00	1578625200	1.1
5	2020-01-10 05:00:00	1578628800	-0.8	5	2020-01-10 00:00:00	2020-01-10 05:00:00	1578628800	1.1
6	2020-01-10 06:00:00	1578632400	-0.7	6	2020-01-10 00:00:00	2020-01-10 06:00:00	1578632400	0.6
7	2020-01-10 07:00:00	1578636000	-0.2	7	2020-01-10 00:00:00	2020-01-10 07:00:00	1578636000	0.6
8	2020-01-10 08:00:00	1578639600	0.3	8	2020-01-10 00:00:00	2020-01-10 08:00:00	1578639600	2.2
9	2020-01-10 09:00:00	1578643200	0.9	9	2020-01-10 00:00:00	2020-01-10 09:00:00	1578643200	2.2
10	2020-01-10 10:00:00	1578646800	1.3	10	2020-01-10 00:00:00	2020-01-10 10:00:00	1578646800	1.7
11	2020-01-10 11:00:00	1578650400	1.8	11	2020-01-10 00:00:00	2020-01-10 11:00:00	1578650400	2.8
12	2020-01-10 12:00:00	1578654000	2.2	12	2020-01-10 00:00:00	2020-01-10 12:00:00	1578654000	4.4
13	2020-01-10 13:00:00	1578657600	3.3	13	2020-01-10 00:00:00	2020-01-10 13:00:00	1578657600	4.4
14	2020-01-10 14:00:00	1578661200	4.4	14	2020-01-10 00:00:00	2020-01-10 14:00:00	1578661200	5.6
15	2020-01-10 15:00:00	1578664800	5.6	15	2020-01-10 00:00:00	2020-01-10 15:00:00	1578664800	5.6
16	2020-01-10 16:00:00	1578668400	6.2	16	2020-01-10 00:00:00	2020-01-10 16:00:00	1578668400	6.1
17	2020-01-10 17:00:00	1578672000	6.9	17	2020-01-10 00:00:00	2020-01-10 17:00:00	1578672000	7.2
18	2020-01-10 18:00:00	1578675600	7.5	18	2020-01-10 00:00:00	2020-01-10 18:00:00	1578675600	7.8
19	2020-01-10 19:00:00	1578679200	7.9	19	2020-01-10 00:00:00	2020-01-10 19:00:00	1578679200	8.9
20	2020-01-10 20:00:00	1578682800	8.2	20	2020-01-10 00:00:00	2020-01-10 20:00:00	1578682800	9.4
21	2020-01-10 21:00:00	1578686400	8.6	21	2020-01-10 00:00:00	2020-01-10 21:00:00	1578686400	9.4
22	2020-01-10 22:00:00	1578690000	8.6	22	2020-01-10 00:00:00	2020-01-10 22:00:00	1578690000	7.8
23	2020-01-10 23:00:00	1578693600	8.5	23	2020-01-10 00:00:00	2020-01-10 23:00:00	1578693600	7.8
24	2020-01-11 00:00:00	1578697200	8.8	24	2020-01-10 00:00:00	2020-01-11 00:00:00	1578697200	7.8
