	forecast_timestamp	forecast_unix_timestamp	forecast_temperature	forecast_hours_ahead	forecast_current_timestamp	history_timestamp	history_unix_timestamp	history_temperature
0	2020-01-10 00:00:00	1578610800	-20.0	0	2020-01-10 00:00:00	2020-01-10 00:00:00	1578610800	-19.8
1	2020-01-10 01:00:00	1578614400	-19.7	1	2020-01-10 00:00:00	2020-01-10 01:00:00	1578614400	-19.7
2	2020-01-10 02:00:00	1578618000	-19.5	2	2020-01-10 00:00:00	2020-01-10 02:00:00	1578618000	-19.6
3	2020-01-10 03:00:00	1578621600	-19.3	3	2020-01-10 00:00:00	2020-01-10 03:00:00	1578621600	-19.5
4	2020-01-10 04:00:00	1578625200	-18.7	4	2020-01-10 00:00:00	2020-01-10 04:00:00	1578625200	-18.6
5	2020-01-10 05:00:00	1578628800	-18.1	5	2020-01-10 00:00:00	2020-01-10 05:00:00	1578628800	-17.7
6	2020-01-10 06:00:00	1578632400	-17.5	6	2020-01-10 00:00:00	2020-01-10 06:00:00	1578632400	-17.1
7	2020-01-10 07:00:00	1578636000	-16.8	7	2020-01-10 00:00:00	2020-01-10 07:00:00	1578636000	-16.5
8	2020-01-10 08:00:00	1578639600	-16.2	8	2020-01-10 00:00:00	2020-01-10 08:00:00	1578639600	-15.9
9	2020-01-10 09:00:00	1578643200	-15.5	9	2020-01-10 00:00:00	2020-01-10 09:00:00	1578643200	-15.4
10	2020-01-10 10:00:00	1578646800	-16.3	10	2020-01-10 00:00:00	2020-01-10 10:00:00	1578646800	-16.3
11	2020-01-10 11:00:00	1578650400	-17.0	11	2020-01-10 00:00:00	2020-01-10 11:00:00	1578650400	-17.1
12	2020-01-10 12:00:00	1578654000	-17.8	12	2020-01-10 00:00:00	2020-01-10 12:00:00	1578654000	-18.9
13	2020-01-10 13:00:00	1578657600	-18.0	13	2020-01-10 00:00:00	2020-01-10 13:00:00	1578657600	-19.2
14	2020-01-10 14:00:00	1578661200	-18.2	14	2020-01-10 00:00:00	2020-01-10 14:00:00	1578661200	-19.5
15	2020-01-10 15:00:00	1578664800	-18.4	15	2020-01-10 00:00:00	2020-01-10 15:00:00	1578664800	-19.6
16	2020-01-10 16:00:00	1578668400	-18.5	16	2020-01-10 00:00:00	2020-01-10 16:00:00	1578668400	-19.7
17	2020-01-10 17:00:00	1578672000	-18.7	17	2020-01-10 00:00:00	2020-01-10 17:00:00	1578672000	-19.8
18	2020-01-10 18:00:00	1578675600	-18.9	18	2020-01-10 00:00:00	2020-01-10 18:00:00	1578675600	-20.3
19	2020-01-10 19:00:00	1578679200	-18.5	19	2020-01-10 00:00:00	2020-01-10 19:00:00	1578679200	-20.0
20	2020-01-10 20:00:00	1578682800	-18.3	20	2020-01-10 00:00:00	2020-01-10 20:00:00	1578682800	-19.7
21	2020-01-10 21:00:00	1578686400	-19.2	21	2020-01-10 00:00:00	2020-01-10 21:00:00	1578686400	-19.8
22	2020-01-10 22:00:00	1578690000	-19.1	22	2020-01-10 00:00:00	2020-01-10 22:00:00	1578690000	-19.7
23	2020-01-10 23:00:00	1578693600	-19.0	23	2020-01-10 00:00:00	2020-01-10 23:00:00	1578693600	-19.7
24	2020-01-11 00:00:00	1578697200	-18.9	24	2020-01-10 00:00:00	2020-01-11 00:00:00	1578697200	-18.9
25	2020-01-11 01:00:00	1578700800	-18.5	25	2020-01-10 00:00:00	2020-01-11 01:00:00	1578700800	-18.7
26	2020-01-11 02:00:00	1578704400	-18.2	26	2020-01-10 00:00:00	2020-01-11 02:00:00	1578704400	-18.5
27	2020-01-11 03:00:00	1578708000	-17.8	27	2020-01-10 00:00:00	2020-01-11 03:00:00	1578708000	-18.4
28	2020-01-11 04:00:00	1578711600	-17.3	28	2020-01-10 00:00:00	2020-01-11 04:00:00	1578711600	-17.5
29	2020-01-11 05:00:00	1578715200	-16.8	29	2020-01-10 00:00:00	2020-01-11 05:00:00	1578715200	-16.6
30	2020-01-11 06:00:00	1578718800	-16.4	30	2020-01-10 00:00:00	2020-01-11 06:00:00	1578718800	-16.2
31	2020-01-11 07:00:00	1578722400	-15.9	31	2020-01-10 00:00:00	2020-01-11 07:00:00	1578722400	-15.8
32	2020-01-11 08:00:00	1578726000	-15.5	32	2020-01-10 00:00:00	2020-01-11 08:00:00	1578726000	-15.3
33	2020-01-11 09:00:00	1578729600	-15.0	33	2020-01-10 00:00:00	2020-01-11 09:00:00	1578729600	-15.0
34	2020-01-11 10:00:00	1578733200	-15.5	34	2020-01-10 00:00:00	2020-01-11 10:00:00	1578733200	-15.7
35	2020-01-11 11:00:00	1578736800	-15.9	35	2020-01-10 00:00:00	2020-01-11 11:00:00	1578736800	-16.5
36	2020-01-11 12:00:00	1578740400	-16.4	36	2020-01-10 00:00:00	2020-01-11 12:00:00	1578740400	-16.6
37	2020-01-11 13:00:00	1578744000	-16.6	37	2020-01-10 00:00:00	2020-01-11 13:00:00	1578744000	-16.6
38	2020-01-11 14:00:00	1578747600	-16.8	38	2020-01-10 00:00:00	2020-01-11 14:00:00	1578747600	-16.6
39	2020-01-11 15:00:00	1578751200	-17.1	39	2020-01-10 00:00:00	2020-01-11 15:00:00	1578751200	-16.5
40	2020-01-11 16:00:00	1578754800	-17.2	40	2020-01-10 00:00:00	2020-01-11 16:00:00	1578754800	-16.5
41	2020-01-11 17:00:00	1578758400	-17.4	41	2020-01-10 00:00:00	2020-01-11 17:00:00	1578758400	-16.5
42	2020-01-11 18:00:00	1578762000	-17.5	42	2020-01-10 00:00:00	2020-01-11 18:00:00	1578762000	-16.6
43	2020-01-11 19:00:00	1578765600	-17.5	43	2020-01-10 00:00:00	2020-01-11 19:00:00	1578765600	-16.7
44	2020-01-11 20:00:00	1578769200	-17.6	44	2020-01-10 00:00:00	2020-01-11 20:00:00	1578769200	-16.7
45	2020-01-11 21:00:00	1578772800	-17.6	45	2020-01-10 00:00:00	2020-01-11 21:00:00	1578772800	-16.6
46	2020-01-11 22:00:00	1578776400	-17.7	46	2020-01-10 00:00:00	2020-01-11 22:00:00	1578776400	-16.6
47	2020-01-11 23:00:00	1578780000	-17.8	47	2020-01-10 00:00:00	2020-01-11 23:00:00	1578780000	-16.6
48	2020-01-12 00:00:00	1578783600	-17.9	48	2020-01-10 00:00:00	2020-01-12 00:00:00	1578783600	-16.0
49	2020-01-12 01:00:00	1578787200	-17.8	49	2020-01-10 00:00:00	2020-01-12 01:00:00	1578787200	-16.2
50	2020-01-12 02:00:00	1578790800	-17.7	50	2020-01-10 00:00:00	2020-01-12 02:00:00	1578790800	-16.4
