	forecast_timestamp	forecast_unix_timestamp	forecast_temperature	forecast_hours_ahead	forecast_current_timestamp	history_timestamp	history_unix_timestamp	history_temperature
0	2020-01-10 00:00:00	1578610800	2.9	0	2020-01-10 00:00:00	2020-01-10 00:00:00	1578610800	2.3
1	2020-01-10 01:00:00	1578614400	3.0	1	2020-01-10 00:00:00	2020-01-10 01:00:00	1578614400	2.0
2	2020-01-10 02:00:00	1578618000	3.1	2	2020-01-10 00:00:00	2020-01-10 02:00:00	1578618000	2.0
3	2020-01-10 03:00:00	1578621600	3.1	3	2020-01-10 00:00:00	2020-01-10 03:00:00	1578621600	1.7
4	2020-01-10 04:00:00	1578625200	3.2	4	2020-01-10 00:00:00	2020-01-10 04:00:00	1578625200	4.0
5	2020-01-10 05:00:00	1578628800	3.2	5	2020-01-10 00:00:00	2020-01-10 05:00:00	1578628800	4.0
6	2020-01-10 06:00:00	1578632400	3.9	6	2020-01-10 00:00:00	2020-01-10 06:00:00	1578632400	3.5
7	2020-01-10 07:00:00	1578636000	4.8	7	2020-01-10 00:00:00	2020-01-10 07:00:00	1578636000	5.0
8	2020-01-10 08:00:00	1578639600	6.3	8	2020-01-10 00:00:00	2020-01-10 08:00:00	1578639600	5.0
9	2020-01-10 09:00:00	1578643200	7.9	9	2020-01-10 00:00:00	2020-01-10 09:00:00	1578643200	7.1
10	2020-01-10 10:00:00	1578646800	9.6	10	2020-01-10 00:00:00	2020-01-10 10:00:00	1578646800	9.0
11	2020-01-10 11:00:00	1578650400	11.4	11	2020-01-10 00:00:00	2020-01-10 11:00:00	1578650400	12.0
12	2020-01-10 12:00:00	1578654000	13.1	12	2020-01-10 00:00:00	2020-01-10 12:00:00	1578654000	14.3
13	2020-01-10 13:00:00	1578657600	13.1	13	2020-01-10 00:00:00	2020-01-10 13:00:00	1578657600	15.0
14	2020-01-10 14:00:00	1578661200	13.1	14	2020-01-10 00:00:00	2020-01-10 14:00:00	1578661200	15.0
15	2020-01-10 15:00:00	1578664800	13.1	15	2020-01-10 00:00:00	2020-01-10 15:00:00	1578664800	12.8
16	2020-01-10 16:00:00	1578668400	11.6	16	2020-01-10 00:00:00	2020-01-10 16:00:00	1578668400	12.0
17	2020-01-10 17:00:00	1578672000	10.2	17	2020-01-10 00:00:00	2020-01-10 17:00:00	1578672000	11.0
18	2020-01-10 18:00:00	1578675600	8.7	18	2020-01-10 00:00:00	2020-01-10 18:00:00	1578675600	8.0
19	2020-01-10 19:00:00	1578679200	8.4	19	2020-01-10 00:00:00	2020-01-10 19:00:00	1578679200	7.0
20	2020-01-10 20:00:00	1578682800	7.9	20	2020-01-10 00:00:00	2020-01-10 20:00:00	1578682800	7.0
21	2020-01-10 21:00:00	1578686400	7.0	21	2020-01-10 00:00:00	2020-01-10 21:00:00	1578686400	5.7
22	2020-01-10 22:00:00	1578690000	6.6	22	2020-01-10 00:00:00	2020-01-10 22:00:00	1578690000	5.0
23	2020-01-10 23:00:00	1578693600	6.1	23	2020-01-10 00:00:00	2020-01-10 23:00:00	1578693600	5.0
24	2020-01-11 00:00:00	1578697200	5.6	24	2020-01-10 00:00:00	2020-01-11 00:00:00	1578697200	5.0
25	2020-01-11 01:00:00	1578700800	5.3	25	2020-01-10 00:00:00	2020-01-11 01:00:00	1578700800	4.0
26	2020-01-11 02:00:00	1578704400	5.1	26	2020-01-10 00:00:00	2020-01-11 02:00:00	1578704400	4.0
27	2020-01-11 03:00:00	1578708000	4.8	27	2020-01-10 00:00:00	2020-01-11 03:00:00	1578708000	3.7
28	2020-01-11 04:00:00	1578711600	4.6	28	2020-01-10 00:00:00	2020-01-11 04:00:00	1578711600	4.0
29	2020-01-11 05:00:00	1578715200	4.4	29	2020-01-10 00:00:00	2020-01-11 05:00:00	1578715200	2.0
30	2020-01-11 06:00:00	1578718800	4.4	30	2020-01-10 00:00:00	2020-01-11 06:00:00	1578718800	2.0
31	2020-01-11 07:00:00	1578722400	5.5	31	2020-01-10 00:00:00	2020-01-11 07:00:00	1578722400	1.0
32	2020-01-11 08:00:00	1578726000	6.9	32	2020-01-10 00:00:00	2020-01-11 08:00:00	1578726000	3.0
33	2020-01-11 09:00:00	1578729600	8.3	33	2020-01-10 00:00:00	2020-01-11 09:00:00	1578729600	6.4
34	2020-01-11 10:00:00	1578733200	10.0	34	2020-01-10 00:00:00	2020-01-11 10:00:00	1578733200	9.0
35	2020-01-11 11:00:00	1578736800	11.8	35	2020-01-10 00:00:00	2020-01-11 11:00:00	1578736800	12.0
36	2020-01-11 12:00:00	1578740400	13.5	36	2020-01-10 00:00:00	2020-01-11 12:00:00	1578740400	13.0
37	2020-01-11 13:00:00	1578744000	13.4	37	2020-01-10 00:00:00	2020-01-11 13:00:00	1578744000	13.0
38	2020-01-11 14:00:00	1578747600	13.3	38	2020-01-10 00:00:00	2020-01-11 14:00:00	1578747600	14.0
39	2020-01-11 15:00:00	1578751200	13.1	39	2020-01-10 00:00:00	2020-01-11 15:00:00	1578751200	14.0
40	2020-01-11 16:00:00	1578754800	11.7	40	2020-01-10 00:00:00	2020-01-11 16:00:00	1578754800	9.0
41	2020-01-11 17:00:00	1578758400	10.3	41	2020-01-10 00:00:00	2020-01-11 17:00:00	1578758400	9.0
42	2020-01-11 18:00:00	1578762000	8.1	42	2020-01-10 00:00:00	2020-01-11 18:00:00	1578762000	5.0
43	2020-01-11 19:00:00	1578765600	7.8	43	2020-01-10 00:00:00	2020-01-11 19:00:00	1578765600	7.0
44	2020-01-11 20:00:00	1578769200	7.3	44	2020-01-10 00:00:00	2020-01-11 20:00:00	1578769200	7.0
45	2020-01-11 21:00:00	1578772800	6.5	45	2020-01-10 00:00:00	2020-01-11 21:00:00	1578772800	4.7
46	2020-01-11 22:00:00	1578776400	5.9	46	2020-01-10 00:00:00	2020-01-11 22:00:00	1578776400	6.0
47	2020-01-11 23:00:00	1578780000	5.3	47	2020-01-10 00:00:00	2020-01-11 23:00:00	1578780000	6.0
48	2020-01-12 00:00:00	1578783600	4.8	48	2020-01-10 00:00:00	2020-01-12 00:00:00	1578783600	5.0
49	2020-01-12 01:00:00	1578787200	4.6	49	2020-01-10 00:00:00	2020-01-12 01:00:00	1578787200	5.0
50	2020-01-12 02:00:00	1578790800	4.4	50	2020-01-10 00:00:00	2020-01-12 02:00:00	1578790800	5.0
51	2020-01-12 03:00:00	1578794400	4.2	51	2020-01-10 00:00:00	2020-01-12 03:00:00	1578794400	4.0
52	2020-01-12 04:00:00	1578798000	4.0	52	2020-01-10 00:00:00	2020-01-12 04:00:00	1578798000	4.0
53	2020-01-12 05:00:00	1578801600	3.8	53	2020-01-10 00:00:00	2020-01-12 05:00:00	1578801600	4.0
54	2020-01-12 06:00:00	1578805200	3.8	54	2020-01-10 00:00:00	2020-01-12 06:00:00	1578805200	5.0
55	2020-01-12 07:00:00	1578808800	5.1	55	2020-01-10 00:00:00	2020-01-12 07:00:00	1578808800	4.0
56	2020-01-12 08:00:00	1578812400	6.5	56	2020-01-10 00:00:00	2020-01-12 08:00:00	1578812400	4.0
57	2020-01-12 09:00:00	1578816000	7.9	57	2020-01-10 00:00:00	2020-01-12 09:00:00	1578816000	7.8
58	2020-01-12 10:00:00	1578819600	9.7	58	2020-01-10 00:00:00	2020-01-12 10:00:00	1578819600	10.0
59	2020-01-12 11:00:00	1578823200	11.4	59	2020-01-10 00:00:00	2020-01-12 11:00:00	1578823200	12.0
60	2020-01-12 12:00:00	1578826800	13.1	60	2020-01-10 00:00:00	2020-01-12 12:00:00	1578826800	14.2
61	2020-01-12 13:00:00	1578830400	13.1	61	2020-01-10 00:00:00	2020-01-12 13:00:00	1578830400	15.0
