	forecast_timestamp	forecast_unix_timestamp	forecast_temperature	forecast_hours_ahead	forecast_current_timestamp	history_timestamp	history_unix_timestamp	history_temperature
0	2020-01-10 00:00:00	1578610800	6.1	0	2020-01-10 00:00:00	2020-01-10 00:00:00	1578610800	6.0
1	2020-01-10 01:00:00	1578614400	6.3	1	2020-01-10 00:00:00	2020-01-10 01:00:00	1578614400	6.1
2	2020-01-10 02:00:00	1578618000	6.6	2	2020-01-10 00:00:00	2020-01-10 02:00:00	1578618000	6.2
3	2020-01-10 03:00:00	1578621600	6.8	3	2020-01-10 00:00:00	2020-01-10 03:00:00	1578621600	6.2
4	2020-01-10 04:00:00	1578625200	6.8	4	2020-01-10 00:00:00	2020-01-10 04:00:00	1578625200	6.1
5	2020-01-10 05:00:00	1578628800	7.0	5	2020-01-10 00:00:00	2020-01-10 05:00:00	1578628800	6.2
6	2020-01-10 06:00:00	1578632400	7.0	6	2020-01-10 00:00:00	2020-01-10 06:00:00	1578632400	6.2
7	2020-01-10 07:00:00	1578636000	7.0	7	2020-01-10 00:00:00	2020-01-10 07:00:00	1578636000	6.1
8	2020-01-10 08:00:00	1578639600	7.1	8	2020-01-10 00:00:00	2020-01-10 08:00:00	1578639600	6.2
9	2020-01-10 09:00:00	1578643200	7.2	9	2020-01-10 00:00:00	2020-01-10 09:00:00	1578643200	6.3
10	2020-01-10 10:00:00	1578646800	7.7	10	2020-01-10 00:00:00	2020-01-10 10:00:00	1578646800	6.7
11	2020-01-10 11:00:00	1578650400	8.3	11	2020-01-10 00:00:00	2020-01-10 11:00:00	1578650400	7.1
12	2020-01-10 12:00:00	1578654000	8.6	12	2020-01-10 00:00:00	2020-01-10 12:00:00	1578654000	7.9
13	2020-01-10 13:00:00	1578657600	8.7	13	2020-01-10 00:00:00	2020-01-10 13:00:00	1578657600	8.6
14	2020-01-10 14:00:00	1578661200	8.5	14	2020-01-10 00:00:00	2020-01-10 14:00:00	1578661200	8.5
15	2020-01-10 15:00:00	1578664800	8.4	15	2020-01-10 00:00:00	2020-01-10 15:00:00	1578664800	8.3
16	2020-01-10 16:00:00	1578668400	8.2	16	2020-01-10 00:00:00	2020-01-10 16:00:00	1578668400	8.2
17	2020-01-10 17:00:00	1578672000	8.1	17	2020-01-10 00:00:00	2020-01-10 17:00:00	1578672000	8.1
18	2020-01-10 18:00:00	1578675600	8.1	18	2020-01-10 00:00:00	2020-01-10 18:00:00	1578675600	8.6
19	2020-01-10 19:00:00	1578679200	8.2	19	2020-01-10 00:00:00	2020-01-10 19:00:00	1578679200	8.8
20	2020-01-10 20:00:00	1578682800	8.0	20	2020-01-10 00:00:00	2020-01-10 20:00:00	1578682800	8.8
21	2020-01-10 21:00:00	1578686400	8.1	21	2020-01-10 00:00:00	2020-01-10 21:00:00	1578686400	8.4
22	2020-01-10 22:00:00	1578690000	8.0	22	2020-01-10 00:00:00	2020-01-10 22:00:00	1578690000	8.3
23	2020-01-10 23:00:00	1578693600	7.8	23	2020-01-10 00:00:00	2020-01-10 23:00:00	1578693600	8.2
24	2020-01-11 00:00:00	1578697200	7.7	24	2020-01-10 00:00:00	2020-01-11 00:00:00	1578697200	8.0
25	2020-01-11 01:00:00	1578700800	7.4	25	2020-01-10 00:00:00	2020-01-11 01:00:00	1578700800	8.2
26	2020-01-11 02:00:00	1578704400	7.2	26	2020-01-10 00:00:00	2020-01-11 02:00:00	1578704400	7.9
27	2020-01-11 03:00:00	1578708000	7.1	27	2020-01-10 00:00:00	2020-01-11 03:00:00	1578708000	7.2
28	2020-01-11 04:00:00	1578711600	7.0	28	2020-01-10 00:00:00	2020-01-11 04:00:00	1578711600	7.0
29	2020-01-11 05:00:00	1578715200	6.9	29	2020-01-10 00:00:00	2020-01-11 05:00:00	1578715200	6.8
30	2020-01-11 06:00:00	1578718800	6.7	30	2020-01-10 00:00:00	2020-01-11 06:00:00	1578718800	6.6
31	2020-01-11 07:00:00	1578722400	6.4	31	2020-01-10 00:00:00	2020-01-11 07:00:00	1578722400	5.9
32	2020-01-11 08:00:00	1578726000	6.2	32	2020-01-10 00:00:00	2020-01-11 08:00:00	1578726000	5.5
33	2020-01-11 09:00:00	1578729600	5.9	33	2020-01-10 00:00:00	2020-01-11 09:00:00	1578729600	5.2
34	2020-01-11 10:00:00	1578733200	5.7	34	2020-01-10 00:00:00	2020-01-11 10:00:00	1578733200	5.4
35	2020-01-11 11:00:00	1578736800	5.5	35	2020-01-10 00:00:00	2020-01-11 11:00:00	1578736800	5.1
36	2020-01-11 12:00:00	1578740400	5.3	36	2020-01-10 00:00:00	2020-01-11 12:00:00	1578740400	5.0
37	2020-01-11 13:00:00	1578744000	5.2	37	2020-01-10 00:00:00	2020-01-11 13:00:00	1578744000	5.0
38	2020-01-11 14:00:00	1578747600	4.9	38	2020-01-10 00:00:00	2020-01-11 14:00:00	1578747600	5.0
39	2020-01-11 15:00:00	1578751200	4.5	39	2020-01-10 00:00:00	2020-01-11 15:00:00	1578751200	4.6
40	2020-01-11 16:00:00	1578754800	4.1	40	2020-01-10 00:00:00	2020-01-11 16:00:00	1578754800	5.0
41	2020-01-11 17:00:00	1578758400	4.0	41	2020-01-10 00:00:00	2020-01-11 17:00:00	1578758400	4.3
42	2020-01-11 18:00:00	1578762000	3.9	42	2020-01-10 00:00:00	2020-01-11 18:00:00	1578762000	4.3
43	2020-01-11 19:00:00	1578765600	4.0	43	2020-01-10 00:00:00	2020-01-11 19:00:00	1578765600	3.9
44	2020-01-11 20:00:00	1578769200	3.8	44	2020-01-10 00:00:00	2020-01-11 20:00:00	1578769200	3.8
45	2020-01-11 21:00:00	1578772800	3.6	45	2020-01-10 00:00:00	2020-01-11 21:00:00	1578772800	3.7
46	2020-01-11 22:00:00	1578776400	3.4	46	2020-01-10 00:00:00	2020-01-11 22:00:00	1578776400	3.9
47	2020-01-11 23:00:00	1578780000	3.3	47	2020-01-10 00:00:00	2020-01-11 23:00:00	1578780000	3.7
48	2020-01-12 00:00:00	1578783600	3.1	48	2020-01-10 00:00:00	2020-01-12 00:00:00	1578783600	4.0
49	2020-01-12 01:00:00	1578787200	3.0	49	2020-01-10 00:00:00	2020-01-12 01:00:00	1578787200	4.0
50	2020-01-12 02:00:00	1578790800	2.8	50	2020-01-10 00:00:00	2020-01-12 02:00:00	1578790800	4.1
51	2020-01-12 03:00:00	1578794400	2.4	51	2020-01-10 00:00:00	2020-01-12 03:00:00	1578794400	4.0
52	2020-01-12 04:00:00	1578798000	2.4	52	2020-01-10 00:00:00	2020-01-12 04:00:00	1578798000	3.6
53	2020-01-12 05:00:00	1578801600	2.3	53	2020-01-10 00:00:00	2020-01-12 05:00:00	1578801600	3.3
54	2020-01-12 06:00:00	1578805200	2.3	54	2020-01-10 00:00:00	2020-01-12 06:00:00	1578805200	3.1
55	2020-01-12 07:00:00	1578808800	2.4	55	2020-01-10 00:00:00	2020-01-12 07:00:00	1578808800	2.6
56	2020-01-12 08:00:00	1578812400	2.8	56	2020-01-10 00:00:00	2020-01-12 08:00:00	1578812400	2.6
57	2020-01-12 09:00:00	1578816000	3.8	57	2020-01-10 00:00:00	2020-01-12 09:00:00	1578816000	3.5
58	2020-01-12 10:00:00	1578819600	4.6	58	2020-01-10 00:00:00	2020-01-12 10:00:00	1578819600	3.8
59	2020-01-12 11:00:00	1578823200	5.2	59	2020-01-10 00:00:00	2020-01-12 11:00:00	1578823200	4.7
60	2020-01-12 12:00:00	1578826800	5.8	60	2020-01-10 00:00:00	2020-01-12 12:00:00	1578826800	5.0
